year,month,month_numeric,date_stamp,usd_inr_forward_cash_spot_in_paise,usd_inr_forward_cash_one_month_in_paise,usd_inr_forward_cash_three_months_in_paise,usd_inr_forward_cash_six_months_in_paise,usd_inr_forward_cash_twelve_months_in_paise,usd_inr_reference_rate_in_rs,released_on,updated_on,data_source,data_url
2026,February,2,2026-02-27,1.435,19.0,61.0,119.0,244.0,90.9542,2026-02-27,2026-04-14,RBI Database on Indian Economy,https://data.rbi.org.in/DBIE/#/dbie/reports/Statistics/Financial%20Market/Forex%20Market
2026,February,2,2026-02-26,0.425,16.0,60.0,118.0,242.0,90.9072,2026-02-27,2026-04-14,RBI Database on Indian Economy,https://data.rbi.org.in/DBIE/#/dbie/reports/Statistics/Financial%20Market/Forex%20Market
2026,February,2,2026-02-25,0.395,16.0,60.0,118.0,240.0,90.9502,2026-02-27,2026-04-14,RBI Database on Indian Economy,https://data.rbi.org.in/DBIE/#/dbie/reports/Statistics/Financial%20Market/Forex%20Market
2026,February,2,2026-02-24,0.355,15.0,60.0,117.0,239.0,90.9661,2026-02-27,2026-04-14,RBI Database on Indian Economy,https://data.rbi.org.in/DBIE/#/dbie/reports/Statistics/Financial%20Market/Forex%20Market
2026,February,2,2026-02-23,0.385,14.5,60.0,116.0,238.0,90.7461,2026-02-27,2026-04-14,RBI Database on Indian Economy,https://data.rbi.org.in/DBIE/#/dbie/reports/Statistics/Financial%20Market/Forex%20Market
2026,February,2,2026-02-20,1.205,13.5,58.0,112.0,233.0,90.9518,2026-02-27,2026-04-14,RBI Database on Indian Economy,https://data.rbi.org.in/DBIE/#/dbie/reports/Statistics/Financial%20Market/Forex%20Market
2026,February,2,2026-02-18,0.715,13.0,57.0,110.0,228.0,90.6669,2026-02-27,2026-04-14,RBI Database on Indian Economy,https://data.rbi.org.in/DBIE/#/dbie/reports/Statistics/Financial%20Market/Forex%20Market
2026,February,2,2026-02-17,0.305,13.0,57.0,111.0,232.0,90.7744,2026-02-27,2026-04-14,RBI Database on Indian Economy,https://data.rbi.org.in/DBIE/#/dbie/reports/Statistics/Financial%20Market/Forex%20Market
2026,February,2,2026-02-16,0.0,14.0,57.0,112.0,231.0,90.7125,2026-02-27,2026-04-14,RBI Database on Indian Economy,https://data.rbi.org.in/DBIE/#/dbie/reports/Statistics/Financial%20Market/Forex%20Market
2026,February,2,2026-02-13,1.455,13.0,57.0,110.0,227.0,90.7415,2026-02-27,2026-04-14,RBI Database on Indian Economy,https://data.rbi.org.in/DBIE/#/dbie/reports/Statistics/Financial%20Market/Forex%20Market
2026,February,2,2026-02-12,0.355,13.0,56.0,108.0,225.0,90.5947,2026-02-27,2026-04-14,RBI Database on Indian Economy,https://data.rbi.org.in/DBIE/#/dbie/reports/Statistics/Financial%20Market/Forex%20Market
2026,February,2,2026-02-11,0.305,12.0,54.0,107.0,228.0,90.5675,2026-02-27,2026-04-14,RBI Database on Indian Economy,https://data.rbi.org.in/DBIE/#/dbie/reports/Statistics/Financial%20Market/Forex%20Market
2026,February,2,2026-02-10,0.305,12.0,52.0,106.0,226.0,90.5773,2026-02-27,2026-04-14,RBI Database on Indian Economy,https://data.rbi.org.in/DBIE/#/dbie/reports/Statistics/Financial%20Market/Forex%20Market
2026,February,2,2026-02-09,0.255,12.0,53.0,108.0,227.0,90.4006,2026-02-27,2026-04-14,RBI Database on Indian Economy,https://data.rbi.org.in/DBIE/#/dbie/reports/Statistics/Financial%20Market/Forex%20Market
2026,February,2,2026-02-06,0.755,13.0,56.0,112.0,233.0,90.4163,2026-02-27,2026-04-14,RBI Database on Indian Economy,https://data.rbi.org.in/DBIE/#/dbie/reports/Statistics/Financial%20Market/Forex%20Market
2026,February,2,2026-02-05,0.395,13.0,56.0,110.0,226.0,90.3957,2026-02-27,2026-04-14,RBI Database on Indian Economy,https://data.rbi.org.in/DBIE/#/dbie/reports/Statistics/Financial%20Market/Forex%20Market
2026,February,2,2026-02-04,0.385,13.0,55.0,108.0,223.0,90.4693,2026-02-27,2026-04-14,RBI Database on Indian Economy,https://data.rbi.org.in/DBIE/#/dbie/reports/Statistics/Financial%20Market/Forex%20Market
2026,February,2,2026-02-03,0.375,13.0,56.0,111.0,225.0,90.4495,2026-02-27,2026-04-14,RBI Database on Indian Economy,https://data.rbi.org.in/DBIE/#/dbie/reports/Statistics/Financial%20Market/Forex%20Market
2026,February,2,2026-02-02,0.355,15.0,61.0,118.0,239.0,91.6443,2026-02-27,2026-04-14,RBI Database on Indian Economy,https://data.rbi.org.in/DBIE/#/dbie/reports/Statistics/Financial%20Market/Forex%20Market
2026,January,1,2026-01-30,2.055,16.0,63.0,120.0,240.0,91.8983,2026-02-27,2026-04-14,RBI Database on Indian Economy,https://data.rbi.org.in/DBIE/#/dbie/reports/Statistics/Financial%20Market/Forex%20Market
2026,January,1,2026-01-29,0.485,17.0,70.0,127.0,245.0,91.9644,2026-02-27,2026-04-14,RBI Database on Indian Economy,https://data.rbi.org.in/DBIE/#/dbie/reports/Statistics/Financial%20Market/Forex%20Market
2026,January,1,2026-01-28,0.475,18.0,70.0,128.0,246.0,91.6945,2026-02-27,2026-04-14,RBI Database on Indian Economy,https://data.rbi.org.in/DBIE/#/dbie/reports/Statistics/Financial%20Market/Forex%20Market
2026,January,1,2026-01-27,0.475,18.0,69.0,124.0,243.0,91.8244,2026-02-27,2026-04-14,RBI Database on Indian Economy,https://data.rbi.org.in/DBIE/#/dbie/reports/Statistics/Financial%20Market/Forex%20Market
2026,January,1,2026-01-23,1.545,20.0,69.0,124.0,241.0,91.6195,2026-02-27,2026-04-14,RBI Database on Indian Economy,https://data.rbi.org.in/DBIE/#/dbie/reports/Statistics/Financial%20Market/Forex%20Market
2026,January,1,2026-01-22,0.415,21.0,70.0,127.0,242.0,91.5826,2026-02-27,2026-04-14,RBI Database on Indian Economy,https://data.rbi.org.in/DBIE/#/dbie/reports/Statistics/Financial%20Market/Forex%20Market
2026,January,1,2026-01-21,0.485,24.0,75.0,135.0,253.0,91.55,2026-02-27,2026-04-14,RBI Database on Indian Economy,https://data.rbi.org.in/DBIE/#/dbie/reports/Statistics/Financial%20Market/Forex%20Market
2026,January,1,2026-01-20,0.335,24.0,75.0,135.0,251.0,91.0356,2026-02-27,2026-04-14,RBI Database on Indian Economy,https://data.rbi.org.in/DBIE/#/dbie/reports/Statistics/Financial%20Market/Forex%20Market
2026,January,1,2026-01-19,0.0,26.0,78.0,140.0,258.0,90.9705,2026-02-27,2026-04-14,RBI Database on Indian Economy,https://data.rbi.org.in/DBIE/#/dbie/reports/Statistics/Financial%20Market/Forex%20Market
2026,January,1,2026-01-16,1.555,24.0,75.0,138.0,256.0,90.6497,2026-02-27,2026-04-14,RBI Database on Indian Economy,https://data.rbi.org.in/DBIE/#/dbie/reports/Statistics/Financial%20Market/Forex%20Market
2026,January,1,2026-01-14,1.555,22.0,72.0,134.0,249.0,90.2016,2026-02-27,2026-04-14,RBI Database on Indian Economy,https://data.rbi.org.in/DBIE/#/dbie/reports/Statistics/Financial%20Market/Forex%20Market
2026,January,1,2026-01-13,0.605,22.0,68.0,131.0,248.0,90.2677,2026-02-27,2026-04-14,RBI Database on Indian Economy,https://data.rbi.org.in/DBIE/#/dbie/reports/Statistics/Financial%20Market/Forex%20Market
2026,January,1,2026-01-12,0.475,24.0,68.0,127.0,237.0,90.1899,2026-02-27,2026-04-14,RBI Database on Indian Economy,https://data.rbi.org.in/DBIE/#/dbie/reports/Statistics/Financial%20Market/Forex%20Market
2026,January,1,2026-01-09,1.355,22.0,68.0,130.0,242.0,90.1395,2026-02-27,2026-04-14,RBI Database on Indian Economy,https://data.rbi.org.in/DBIE/#/dbie/reports/Statistics/Financial%20Market/Forex%20Market
2026,January,1,2026-01-08,0.605,23.0,71.0,135.0,249.0,89.893,2026-02-27,2026-04-14,RBI Database on Indian Economy,https://data.rbi.org.in/DBIE/#/dbie/reports/Statistics/Financial%20Market/Forex%20Market
2026,January,1,2026-01-07,0.525,21.0,65.0,128.0,241.0,89.9432,2026-02-27,2026-04-14,RBI Database on Indian Economy,https://data.rbi.org.in/DBIE/#/dbie/reports/Statistics/Financial%20Market/Forex%20Market
2026,January,1,2026-01-06,0.505,21.0,63.0,126.0,237.0,90.181,2026-02-27,2026-04-14,RBI Database on Indian Economy,https://data.rbi.org.in/DBIE/#/dbie/reports/Statistics/Financial%20Market/Forex%20Market
2026,January,1,2026-01-05,0.365,22.0,63.0,125.0,240.0,90.2729,2026-02-27,2026-04-14,RBI Database on Indian Economy,https://data.rbi.org.in/DBIE/#/dbie/reports/Statistics/Financial%20Market/Forex%20Market
2026,January,1,2026-01-02,1.445,20.0,58.0,117.0,229.0,90.1242,2026-02-27,2026-04-14,RBI Database on Indian Economy,https://data.rbi.org.in/DBIE/#/dbie/reports/Statistics/Financial%20Market/Forex%20Market
2026,January,1,2026-01-01,0.0,20.0,59.0,116.0,223.0,89.9792,2026-02-27,2026-04-14,RBI Database on Indian Economy,https://data.rbi.org.in/DBIE/#/dbie/reports/Statistics/Financial%20Market/Forex%20Market
2025,December,12,2025-12-31,5.005,23.0,62.0,121.0,233.0,89.9198,2026-02-27,2026-04-14,RBI Database on Indian Economy,https://data.rbi.org.in/DBIE/#/dbie/reports/Statistics/Financial%20Market/Forex%20Market
2025,December,12,2025-12-30,0.555,27.0,67.0,129.0,242.0,89.9429,2026-02-27,2026-04-14,RBI Database on Indian Economy,https://data.rbi.org.in/DBIE/#/dbie/reports/Statistics/Financial%20Market/Forex%20Market
2025,December,12,2025-12-29,0.315,38.0,77.0,141.0,254.0,89.9756,2026-02-27,2026-04-14,RBI Database on Indian Economy,https://data.rbi.org.in/DBIE/#/dbie/reports/Statistics/Financial%20Market/Forex%20Market
2025,December,12,2025-12-26,1.255,40.0,76.0,139.0,251.0,89.8296,2026-02-27,2026-04-14,RBI Database on Indian Economy,https://data.rbi.org.in/DBIE/#/dbie/reports/Statistics/Financial%20Market/Forex%20Market
2025,December,12,2025-12-24,0.855,43.0,82.0,145.0,255.0,89.7703,2026-02-27,2026-04-14,RBI Database on Indian Economy,https://data.rbi.org.in/DBIE/#/dbie/reports/Statistics/Financial%20Market/Forex%20Market
2025,December,12,2025-12-23,1.005,49.5,94.5,166.5,281.5,89.8314,2026-02-27,2026-04-14,RBI Database on Indian Economy,https://data.rbi.org.in/DBIE/#/dbie/reports/Statistics/Financial%20Market/Forex%20Market
2025,December,12,2025-12-20,0.835,47.0,91.0,160.0,278.0,89.5467,2026-02-27,2026-04-14,RBI Database on Indian Economy,https://data.rbi.org.in/DBIE/#/dbie/reports/Statistics/Financial%20Market/Forex%20Market
2025,December,12,2025-12-19,1.155,35.0,73.0,142.0,253.0,90.1975,2026-02-27,2026-04-14,RBI Database on Indian Economy,https://data.rbi.org.in/DBIE/#/dbie/reports/Statistics/Financial%20Market/Forex%20Market
2025,December,12,2025-12-18,0.405,34.0,79.0,142.0,253.0,90.1303,2026-02-27,2026-04-14,RBI Database on Indian Economy,https://data.rbi.org.in/DBIE/#/dbie/reports/Statistics/Financial%20Market/Forex%20Market
2025,December,12,2025-12-17,1.255,30.0,72.0,134.0,242.0,90.3291,2026-02-27,2026-04-14,RBI Database on Indian Economy,https://data.rbi.org.in/DBIE/#/dbie/reports/Statistics/Financial%20Market/Forex%20Market
2025,December,12,2025-12-16,2.805,31.0,71.0,132.0,241.0,91.0202,2026-02-27,2026-04-14,RBI Database on Indian Economy,https://data.rbi.org.in/DBIE/#/dbie/reports/Statistics/Financial%20Market/Forex%20Market
2025,December,12,2025-12-15,0.435,30.0,69.0,133.0,243.0,90.7228,2026-02-27,2026-04-14,RBI Database on Indian Economy,https://data.rbi.org.in/DBIE/#/dbie/reports/Statistics/Financial%20Market/Forex%20Market
2025,December,12,2025-12-12,1.265,25.0,66.0,129.0,238.0,90.3883,2026-02-27,2026-04-14,RBI Database on Indian Economy,https://data.rbi.org.in/DBIE/#/dbie/reports/Statistics/Financial%20Market/Forex%20Market
2025,December,12,2025-12-11,0.395,24.0,66.0,127.0,237.0,90.3702,2026-02-27,2026-04-14,RBI Database on Indian Economy,https://data.rbi.org.in/DBIE/#/dbie/reports/Statistics/Financial%20Market/Forex%20Market
2025,December,12,2025-12-10,0.455,23.0,63.0,122.0,231.0,89.8822,2026-02-27,2026-04-14,RBI Database on Indian Economy,https://data.rbi.org.in/DBIE/#/dbie/reports/Statistics/Financial%20Market/Forex%20Market
2025,December,12,2025-12-09,0.485,25.0,65.0,125.0,233.0,89.9644,2026-02-27,2026-04-14,RBI Database on Indian Economy,https://data.rbi.org.in/DBIE/#/dbie/reports/Statistics/Financial%20Market/Forex%20Market
2025,December,12,2025-12-08,1.155,27.0,66.0,127.0,236.0,90.1745,2026-02-27,2026-04-14,RBI Database on Indian Economy,https://data.rbi.org.in/DBIE/#/dbie/reports/Statistics/Financial%20Market/Forex%20Market
2025,December,12,2025-12-05,3.455,22.0,58.0,116.0,222.0,89.9238,2026-02-27,2026-04-14,RBI Database on Indian Economy,https://data.rbi.org.in/DBIE/#/dbie/reports/Statistics/Financial%20Market/Forex%20Market
2025,December,12,2025-12-04,0.475,20.0,58.0,117.0,227.0,90.1865,2026-02-27,2026-04-14,RBI Database on Indian Economy,https://data.rbi.org.in/DBIE/#/dbie/reports/Statistics/Financial%20Market/Forex%20Market
2025,December,12,2025-12-03,0.575,19.0,57.0,117.0,226.0,90.2697,2026-02-27,2026-04-14,RBI Database on Indian Economy,https://data.rbi.org.in/DBIE/#/dbie/reports/Statistics/Financial%20Market/Forex%20Market
2025,December,12,2025-12-02,0.485,17.0,50.0,106.0,210.0,89.8887,2026-02-27,2026-04-14,RBI Database on Indian Economy,https://data.rbi.org.in/DBIE/#/dbie/reports/Statistics/Financial%20Market/Forex%20Market
2025,December,12,2025-12-01,0.435,16.0,47.0,101.0,203.0,89.7436,2026-02-27,2026-04-14,RBI Database on Indian Economy,https://data.rbi.org.in/DBIE/#/dbie/reports/Statistics/Financial%20Market/Forex%20Market
2025,November,11,2025-11-28,1.505,14.0,45.0,98.0,199.0,89.4557,2026-02-27,2026-04-14,RBI Database on Indian Economy,https://data.rbi.org.in/DBIE/#/dbie/reports/Statistics/Financial%20Market/Forex%20Market
2025,November,11,2025-11-27,0.0,15.0,45.0,97.0,198.0,89.2942,2026-02-27,2026-04-14,RBI Database on Indian Economy,https://data.rbi.org.in/DBIE/#/dbie/reports/Statistics/Financial%20Market/Forex%20Market
2025,November,11,2025-11-26,0.835,15.0,46.0,97.0,199.0,89.2649,2026-02-27,2026-04-14,RBI Database on Indian Economy,https://data.rbi.org.in/DBIE/#/dbie/reports/Statistics/Financial%20Market/Forex%20Market
2025,November,11,2025-11-25,0.435,16.0,46.0,97.0,199.0,89.2213,2026-02-27,2026-04-14,RBI Database on Indian Economy,https://data.rbi.org.in/DBIE/#/dbie/reports/Statistics/Financial%20Market/Forex%20Market
2025,November,11,2025-11-24,0.365,14.0,46.0,97.0,199.0,89.1919,2026-02-27,2026-04-14,RBI Database on Indian Economy,https://data.rbi.org.in/DBIE/#/dbie/reports/Statistics/Financial%20Market/Forex%20Market
2025,November,11,2025-11-21,1.205,14.0,44.0,94.0,195.0,88.6402,2026-02-27,2026-04-14,RBI Database on Indian Economy,https://data.rbi.org.in/DBIE/#/dbie/reports/Statistics/Financial%20Market/Forex%20Market
2025,November,11,2025-11-20,0.375,13.0,44.0,94.0,194.0,88.6915,2026-02-27,2026-04-14,RBI Database on Indian Economy,https://data.rbi.org.in/DBIE/#/dbie/reports/Statistics/Financial%20Market/Forex%20Market
2025,November,11,2025-11-19,0.375,14.0,45.0,93.0,195.0,88.4558,2026-02-27,2026-04-14,RBI Database on Indian Economy,https://data.rbi.org.in/DBIE/#/dbie/reports/Statistics/Financial%20Market/Forex%20Market
2025,November,11,2025-11-18,0.365,14.0,44.0,93.0,194.0,88.6344,2026-02-27,2026-04-14,RBI Database on Indian Economy,https://data.rbi.org.in/DBIE/#/dbie/reports/Statistics/Financial%20Market/Forex%20Market
2025,November,11,2025-11-17,0.405,13.0,44.0,93.0,192.0,88.63,2026-02-27,2026-04-14,RBI Database on Indian Economy,https://data.rbi.org.in/DBIE/#/dbie/reports/Statistics/Financial%20Market/Forex%20Market
2025,November,11,2025-11-14,1.205,13.0,43.0,92.0,191.0,88.742,2026-02-27,2026-04-14,RBI Database on Indian Economy,https://data.rbi.org.in/DBIE/#/dbie/reports/Statistics/Financial%20Market/Forex%20Market
2025,November,11,2025-11-13,0.345,13.0,43.0,93.0,191.0,88.716,2026-02-27,2026-04-14,RBI Database on Indian Economy,https://data.rbi.org.in/DBIE/#/dbie/reports/Statistics/Financial%20Market/Forex%20Market
2025,November,11,2025-11-12,0.365,14.0,46.0,94.0,195.0,88.6362,2026-02-27,2026-04-14,RBI Database on Indian Economy,https://data.rbi.org.in/DBIE/#/dbie/reports/Statistics/Financial%20Market/Forex%20Market
2025,November,11,2025-11-11,0.0,14.0,45.0,94.0,193.0,88.6983,2026-02-27,2026-04-14,RBI Database on Indian Economy,https://data.rbi.org.in/DBIE/#/dbie/reports/Statistics/Financial%20Market/Forex%20Market
2025,November,11,2025-11-10,0.835,13.0,45.0,94.0,191.0,88.6761,2026-02-27,2026-04-14,RBI Database on Indian Economy,https://data.rbi.org.in/DBIE/#/dbie/reports/Statistics/Financial%20Market/Forex%20Market
2025,November,11,2025-11-07,1.205,14.0,45.0,94.0,191.0,88.705,2026-02-27,2026-04-14,RBI Database on Indian Economy,https://data.rbi.org.in/DBIE/#/dbie/reports/Statistics/Financial%20Market/Forex%20Market
2025,November,11,2025-11-06,0.405,14.0,44.0,93.0,190.0,88.6026,2026-02-27,2026-04-14,RBI Database on Indian Economy,https://data.rbi.org.in/DBIE/#/dbie/reports/Statistics/Financial%20Market/Forex%20Market
2025,November,11,2025-11-04,0.865,14.0,46.0,93.0,193.0,88.6372,2026-02-27,2026-04-14,RBI Database on Indian Economy,https://data.rbi.org.in/DBIE/#/dbie/reports/Statistics/Financial%20Market/Forex%20Market
2025,November,11,2025-11-03,0.355,15.0,44.0,94.0,194.0,88.7932,2026-02-27,2026-04-14,RBI Database on Indian Economy,https://data.rbi.org.in/DBIE/#/dbie/reports/Statistics/Financial%20Market/Forex%20Market
2025,October,10,2025-10-31,1.435,14.0,44.0,93.0,194.0,88.7241,2026-02-27,2026-04-14,RBI Database on Indian Economy,https://data.rbi.org.in/DBIE/#/dbie/reports/Statistics/Financial%20Market/Forex%20Market
2025,October,10,2025-10-30,0.365,14.0,45.0,97.0,198.0,88.6048,2026-02-27,2026-04-14,RBI Database on Indian Economy,https://data.rbi.org.in/DBIE/#/dbie/reports/Statistics/Financial%20Market/Forex%20Market
2025,October,10,2025-10-29,0.505,14.0,45.0,97.0,199.0,88.2834,2026-02-27,2026-04-14,RBI Database on Indian Economy,https://data.rbi.org.in/DBIE/#/dbie/reports/Statistics/Financial%20Market/Forex%20Market
2025,October,10,2025-10-28,0.345,14.0,46.0,98.0,201.0,88.296,2026-02-27,2026-04-14,RBI Database on Indian Economy,https://data.rbi.org.in/DBIE/#/dbie/reports/Statistics/Financial%20Market/Forex%20Market
