fiscal_year,month_numeric,month,item,revised_estimates_rs,provisional_actuals_rs,coppy_rs,perc_actuals_to_revised_estimates_current,perc_actuals_to_revised_estimates_coppy,released_on,updated_on,data_source,data_url
2020-2021,1,January,Food Subsidy,422618.14,125389.25,150817.51,30%,(139%),2021-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/1/2020-2021.aspx
2020-2021,1,January,Nutrient Based Fertilizers Subsidy,38989.88,26461.72,26246.32,6 8%,(100%),2021-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/1/2020-2021.aspx
2020-2021,1,January,Urea Subsidy,94957.42,72209.51,536414.60,76%,(100%),2021-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/1/2020-2021.aspx
2020-2021,1,January,Petroleum,39054.79,28595.95,32272.84,73 %,(84%),2021-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/1/2020-2021.aspx
2020-2021,1,January,Total Major Subsidies,595620.23,252656.43,262978.27,42%,(116%),2021-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/1/2020-2021.aspx
2020-2021,2,February,Food Subsidy,422618.14,218857.43,152187.72,52%,(140%),2021-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/2/2020-2021.aspx
2020-2021,2,February,Nutrient Based Fertilizers Subsidy,38989.88,32659.27,26263.52,84 %,(100%),2021-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/2/2020-2021.aspx
2020-2021,2,February,Urea Subsidy,94957.42,85090.51,54051.60,90 %,(101%),2021-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/2/2020-2021.aspx
2020-2021,2,February,Petroleum,39054.79,28962.64,33277.94,74 %,(86%),2021-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/2/2020-2021.aspx
2020-2021,2,February,Total Major Subsidies,595620.23,365569.85,265780.78,61%,(117%),2021-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/2/2020-2021.aspx
2020-2021,3,March,Food Subsidy,422618.14,525444.44,108688.35,124%,(100%),2021-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/3/2020-2021.aspx
2020-2021,3,March,Nutrient Based Fertilizers Subsidy,38989.88,37372.47,26368.85,96%,(100%),2021-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/3/2020-2021.aspx
2020-2021,3,March,Urea Subsidy,94957.42,90549.27,54755.48,95 %,(102%),2021-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/3/2020-2021.aspx
2020-2021,3,March,Petroleum,39054.79,36178.43,33400.19,93 %,(87%),2021-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/3/2020-2021.aspx
2020-2021,3,March,Total Major Subsidies,595620.23,689544.61,223212.87,116%,(98%),2021-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/3/2020-2021.aspx
2020-2021,4,April,Food Subsidy,115569.68,19232.88,46862.09,17%,(25)%,2020-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/4/2020-2021.aspx
2020-2021,4,April,Nutrient Based Fertilizers Subsidy,23504.00,7794.95,5405.21,33 %,(20)%,2020-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/4/2020-2021.aspx
2020-2021,4,April,Urea Subsidy,47805.00,12798.98,11538.22,27 %,(22)%,2020-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/4/2020-2021.aspx
2020-2021,4,April,Petroleum,40915.21,4242.38,5168.27,10 %,(14)%,2020-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/4/2020-2021.aspx
2020-2021,4,April,Total Major Subsidies,227793.89,44069.19,68973.79,19 %,(23)%,2020-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/4/2020-2021.aspx
2020-2021,5,May,Food Subsidy,115569.68,35950.90,77388.07,31 %,(42)%,2020-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/5/2020-2021.aspx
2020-2021,5,May,Nutrient Based Fertilizers Subsidy,23504.00,7794.95,7740.48,33 %,(29)%,2020-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/5/2020-2021.aspx
2020-2021,5,May,Urea Subsidy,47805.00,15382.09,15708.45,32%,(29)%,2020-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/5/2020-2021.aspx
2020-2021,5,May,Petroleum,40915.21,8341.14,14222.00,20 %,(38)%,2020-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/5/2020-2021.aspx
