fiscal_year,month_numeric,month,category,sub_category,re,provisional_value,per_of_actuals_to_revised_estimates_current,per_of_actuals_to_revised_estimates_coppy,released_on,updated_on,data_source,data_url
2020-2021,1,January,Recoveries of Loans and Advances,Recoveries of Loans and Advances,,,,,2021-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,1,January,Recoveries of Loans and Advances,Gross Recoveries,25997.00,15906.88,61%,(27%),2021-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,1,January,Recoveries of Loans and Advances,Less Short Term Loans and Advances,11500.00,102.39,1%,(< 1%),2021-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,1,January,Recoveries of Loans and Advances,Net Recoveries of Loans & Advances,14497.00,15804.49,109%,(87%),2021-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,1,January,Miscellaneous Capital Receipts,Miscellaneous Capital Receipts,32000.00,24550.92,77%,(28%),2021-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,1,January,Miscellaneous Capital Receipts,(i) Disinvestment of Govt.'s Equity Holdings,32000.00,19539.92,61%,(28%),2021-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,1,January,Miscellaneous Capital Receipts,(ii) Proceeds of monetization of National Highways,0.00,5011.00,,,2021-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,1,January,TOTAL,TOTAL,46497.00,40355.41,87%,(40%),2021-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,2,February,Recoveries of Loans and Advances,Recoveries of Loans and Advances,,,,,2021-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,2,February,Recoveries of Loans and Advances,Gross Recoveries,25997.00,17265.11,66%,(29%),2021-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,2,February,Recoveries of Loans and Advances,Less Short Term Loans and Advances,11500.00,109.47,1%,(< 1%),2021-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,2,February,Recoveries of Loans and Advances,Net Recoveries of Loans & Advances,14497.00,17155.64,118%,(95%),2021-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,2,February,Miscellaneous Capital Receipts,Miscellaneous Capital Receipts,32000.00,25668.08,80%,(54%),2021-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,2,February,Miscellaneous Capital Receipts,(i) Disinvestment of Govt.'s Equity Holdings,32000.00,20657.08,65%,(54%),2021-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,2,February,Miscellaneous Capital Receipts,(ii) Proceeds of monetization of National Highways,0.00,5011.00,,,2021-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,2,February,TOTAL,TOTAL,46497.00,42823.72,92%,(63%),2021-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,3,March,Recoveries of Loans and Advances,Recoveries of Loans and Advances,,,,,2021-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,3,March,Recoveries of Loans and Advances,Gross Recoveries,25997.00,29926.48,115%,(34%),2021-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,3,March,Recoveries of Loans and Advances,Less Short Term Loans and Advances,11500.00,10197.24,89%,(1%),2021-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,3,March,Recoveries of Loans and Advances,Net Recoveries of Loans & Advances,14497.00,19729.24,136%,(110%),2021-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,3,March,Miscellaneous Capital Receipts,Miscellaneous Capital Receipts,32000.00,37896.94,118%,(74%),2021-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,3,March,Miscellaneous Capital Receipts,(i) Disinvestment of Govt.'s Equity Holdings,32000.00,32885.94,103%,(74%),2021-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,3,March,Miscellaneous Capital Receipts,(ii) Proceeds of monetization of National Highways,0.00,5011.00,,,2021-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,3,March,TOTAL,TOTAL,46497.00,57626.18,124%,(82%),2021-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,4,April,Recoveries of Loans and Advances,Recoveries of Loans and Advances,,,,,2020-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,4,April,Recoveries of Loans and Advances,Gross Recoveries,66341.68,382.71,1%,(1%),2020-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,4,April,Recoveries of Loans and Advances,Less Short Term Loans and Advances,51375.01,17.22,< 1%,(< 1%),2020-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,4,April,Recoveries of Loans and Advances,Net Recoveries of Loans & Advances,14966.67,365.49,2%,(2%),2020-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,4,April,Miscellaneous Capital Receipts,Miscellaneous Capital Receipts,210000.00,0.01,< 1%,(2%),2020-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,4,April,Miscellaneous Capital Receipts,(i) Disinvestment of Govt.'s Equity Holdings,120000.00,0.01,<1%,(2%),2020-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,4,April,Miscellaneous Capital Receipts,(ii) Disinvestment of Govt. Stake in PSBs and FIs,90000.00,0.00,0%,,2020-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,4,April,TOTAL,TOTAL,224966.67,365.50,< 1%,(2%),2020-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,5,May,Recoveries of Loans and Advances,Recoveries of Loans and Advances,,,,,2020-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,5,May,Recoveries of Loans and Advances,Gross Recoveries,66341.68,858.15,1%,(1%),2020-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,5,May,Recoveries of Loans and Advances,Less Short Term Loans and Advances,51375.01,27.45,< 1%,( < 1%),2020-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,5,May,Recoveries of Loans and Advances,Net Recoveries of Loans & Advances,14966.67,830.70,6%,(5%),2020-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,5,May,Miscellaneous Capital Receipts,Miscellaneous Capital Receipts,210000.00,0.01,< 1%,(2%),2020-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,5,May,Miscellaneous Capital Receipts,(i) Disinvestment of Govt.'s Equity Holdings,120000.00,0.01,< 1%,(2%),2020-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,5,May,Miscellaneous Capital Receipts,(ii) Disinvestment of Govt. Stake in PSBs and FIs,90000.00,0.00,0%,,2020-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,5,May,TOTAL,TOTAL,224966.67,830.71,< 1%,( 3%),2020-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,6,June,Recoveries of Loans and Advances,Recoveries of Loans and Advances,,,,,2020-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,6,June,Recoveries of Loans and Advances,Gross Recoveries,66341.68,3610.58,5%,( 4%),2020-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,6,June,Recoveries of Loans and Advances,Less Short Term Loans and Advances,51375.01,37.19,< 1%,(< 1%),2020-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,6,June,Recoveries of Loans and Advances,Net Recoveries of Loans & Advances,14966.67,3573.39,24%,( 16%),2020-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,6,June,Miscellaneous Capital Receipts,Miscellaneous Capital Receipts,210000.00,0.05,< 1%,(2%),2020-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,6,June,Miscellaneous Capital Receipts,(i) Disinvestment of Govt.'s Equity Holdings,120000.00,0.05,< 1%,(2%),2020-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,6,June,Miscellaneous Capital Receipts,(ii) Disinvestment of Govt. Stake in PSBs and FIs,90000.00,0.00,0%,,2020-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,6,June,TOTAL,TOTAL,224966.67,3573.44,2%,(4%),2020-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,7,July,Recoveries of Loans and Advances,Recoveries of Loans and Advances,,,,,2020-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,7,July,Recoveries of Loans and Advances,Gross Recoveries,66341.68,5502.85,8%,( 7%),2020-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,7,July,Recoveries of Loans and Advances,Less Short Term Loans and Advances,51375.01,47.49,< 1%,(< 1%),2020-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,7,July,Recoveries of Loans and Advances,Net Recoveries of Loans & Advances,14966.67,5455.36,36%,( 32%),2020-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,7,July,Miscellaneous Capital Receipts,Miscellaneous Capital Receipts,210000.00,2.93,< 1%,( 12%),2020-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,7,July,Miscellaneous Capital Receipts,(i) Disinvestment of Govt.'s Equity Holdings,120000.00,2.93,< 1%,(12%),2020-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,7,July,Miscellaneous Capital Receipts,(ii) Disinvestment of Govt. Stake in PSBs and FIs,90000.00,0.00,0%,,2020-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,7,July,TOTAL,TOTAL,224966.67,5458.29,2%,( 14%),2020-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,8,August,Recoveries of Loans and Advances,Recoveries of Loans and Advances,,,,,2020-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
