fiscal_year,month_numeric,month,description,re,provisional_value,per_of_actuals_to_revised_estimates_current,per_of_actuals_to_revised_estimates_coppy,released_on,updated_on,data_source,data_url
2020-2021,1,January,A. Interest Receipts,14004.66,12662.39,90%,(85%),2021-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,1,January,B. Dividends and Profits,96543.54,74371.39,77%,(81%),2021-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,1,January,C. Non-Tax Revenue of U.T.s,2080.63,1245.63,60%,(79%),2021-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,1,January,D. Other Non-Tax Revenue,,,,,2021-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,1,January,Other Non-Tax Revenue Fiscal Services (Net),589.65,58.07,10%,(83%),2021-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,1,January,Other Non-Tax Revenue General Services (Net),16266.09,11899.73,73%,(79%),2021-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,1,January,Other Non-Tax Revenue Social Services,3145.44,2938.67,93%,(71%),2021-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,1,January,Other Non-Tax Revenue Economic Services (Net),76600.77,36849.38,48%,(55%),2021-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,1,January,Other Non-Tax Revenue Grants-in-Aid and Contributions,1421.75,1078.47,76%,(35%),2021-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,1,January,Total Other Non-Tax Revenue,98023.70,52824.32,54%,(59%),2021-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,1,January,Net Non-Tax Revenue,210652.53,141103.73,67%,(73%),2021-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,2,February,A. Interest Receipts,14004.66,13917.28,99%,(92%),2021-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,2,February,B. Dividends and Profits,96543.54,81985.98,85%,(82%),2021-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,2,February,C. Non-Tax Revenue of U.T.s,2080.63,1348.07,65%,(86%),2021-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,2,February,D. Other Non-Tax Revenue,,,,,2021-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,2,February,Other Non-Tax Revenue Fiscal Services (Net),589.65,69.55,12%,(90%),2021-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,2,February,Other Non-Tax Revenue General Services (Net),16266.09,12813.68,79%,(87%),2021-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,2,February,Other Non-Tax Revenue Social Services,3145.44,3474.17,110%,(87%),2021-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,2,February,Other Non-Tax Revenue Economic Services (Net),76600.77,39490.03,52%,(60%),2021-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,2,February,Other Non-Tax Revenue Grants-in-Aid and Contributions,1421.75,1087.21,76%,(36%),2021-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,2,February,Total Other Non-Tax Revenue,98023.70,56934.64,58%,(65%),2021-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,2,February,Net Non-Tax Revenue,210652.53,154185.97,73%,(76%),2021-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,3,March,A. Interest Receipts,14004.66,17146.11,122%,(112)%,2021-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,3,March,B. Dividends and Profits,96543.54,96960.56,100%,(93)%,2021-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,3,March,C. Non-Tax Revenue of U.T.s,2080.63,1287.36,62%,(83)%,2021-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,3,March,D. Other Non-Tax Revenue,,,,,2021-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,3,March,Other Non-Tax Revenue Fiscal Services (Net),589.65,1168.80,198%,(148)%,2021-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,3,March,Other Non-Tax Revenue General Services (Net),16266.09,14027.60,86%,(93)%,2021-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,3,March,Other Non-Tax Revenue Social Services,3145.44,3806.01,121%,(93)%,2021-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,3,March,Other Non-Tax Revenue Economic Services (Net),76600.77,71910.70,94%,(97)%,2021-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,3,March,Other Non-Tax Revenue Grants-in-Aid and Contributions,1421.75,1751.64,123%,(38)%,2021-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,3,March,Total Other Non-Tax Revenue,98023.70,92664.75,95%,(96)%,2021-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,3,March,Net Non-Tax Revenue,210652.53,208058.78,99%,(95)%,2021-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,4,April,A. Interest Receipts,11042.04,294.36,3%,(11%),2020-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,4,April,B. Dividends and Profits,155395.47,1.77,< 1%,( < 1%),2020-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,4,April,C. Non-Tax Revenue of U.T.s,2302.56,41.29,2%,(7%),2020-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,4,April,D. Other Non-Tax Revenue,,,,,2020-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,4,April,Other Non-Tax Revenue Fiscal Services (Net),750.80,2.50,0%,(7% ),2020-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,4,April,Other Non-Tax Revenue General Services (Net),21620.82,1952.91,9%,(19%),2020-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,4,April,Other Non-Tax Revenue Social Services,4268.59,876.26,21%,( 11%),2020-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,4,April,Other Non-Tax Revenue Economic Services (Net),188825.02,2558.48,1%,(16%),2020-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,4,April,Other Non-Tax Revenue Grants-in-Aid and Contributions,812.00,42.98,5%,(< 1% ),2020-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,4,April,Total Other Non-Tax Revenue,216277.23,5433.13,3%,(16%),2020-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
