fiscal_year,month_numeric,month,item,current_month_value,current_year_to_date_val,prev_month_value,prev_year_to_date_val,released_on,updated_on,data_source,data_url
2020-2021,4,April,REVENUE RECEIPTS,27183,27183,94930,94930,2020-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,5,May,REVENUE RECEIPTS,17484,44667,48833,143763,2020-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,6,June,REVENUE RECEIPTS,105341,150008,141123,284886,2020-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,7,July,REVENUE RECEIPTS,77394,227402,97724,382610,2020-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,8,August,REVENUE RECEIPTS,143240,370642,220591,603201,2020-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,9,September,REVENUE RECEIPTS,180140,550782,213266,816467,2020-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,10,October,REVENUE RECEIPTS,141121,691903,91167,907634,2020-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,11,November,REVENUE RECEIPTS,120807,812710,75580,983214,2020-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,12,December,REVENUE RECEIPTS,275870,1088580,163683,1146897,2021-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,1,January,REVENUE RECEIPTS,154379,1242959,103223,1250120,2021-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,2,February,REVENUE RECEIPTS,127313,1370272,127657,1377777,2021-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,3,March,REVENUE RECEIPTS,261822,1632094,306282,1684059,2021-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,4,April,TAX REVENUE (Net),21412,21412,71637,71637,2020-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,5,May,TAX REVENUE (Net),12438,33850,43703,115340,2020-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,6,June,TAX REVENUE (Net),100972,134822,136071,251411,2020-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,7,July,TAX REVENUE (Net),67966,202788,87294,338705,2020-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,8,August,TAX REVENUE (Net),81707,284495,65875,404580,2020-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,9,September,TAX REVENUE (Net),174013,458508,202849,607429,2020-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,10,October,TAX REVENUE (Net),117189,575697,76057,683486,2020-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,11,November,TAX REVENUE (Net),112733,688430,67128,750614,2020-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,12,December,TAX REVENUE (Net),273969,962399,154330,904944,2021-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,1,January,TAX REVENUE (Net),139456,1101855,93093,998037,2021-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,2,February,TAX REVENUE (Net),114231,1216086,116599,1114636,2021-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,3,March,TAX REVENUE (Net),207949,1424035,242266,1356902,2021-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,4,April,NON-TAX REVENUE,5771,5771,23293,23293,2020-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,5,May,NON-TAX REVENUE,5046,10817,5130,28423,2020-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,6,June,NON-TAX REVENUE,4369,15186,5052,33475,2020-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,7,July,NON-TAX REVENUE,9428,24614,10430,43905,2020-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,8,August,NON-TAX REVENUE,61533,86147,154716,198621,2020-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,9,September,NON-TAX REVENUE,6127,92274,10417,209038,2020-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,10,October,NON-TAX REVENUE,23932,116206,15110,224148,2020-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,11,November,NON-TAX REVENUE,8074,124280,8452,232600,2020-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,12,December,NON-TAX REVENUE,1901,126181,9353,241953,2021-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,1,January,NON-TAX REVENUE,14923,141104,10130,252083,2021-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,2,February,NON-TAX REVENUE,13082,154186,11058,263141,2021-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,3,March,NON-TAX REVENUE,53873,208059,64016,327157,2021-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,4,April,NON-DEBT CAPITAL RECEIPTS,365,365,2701,2701,2020-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,5,May,NON-DEBT CAPITAL RECEIPTS,466,831,366,3067,2020-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,6,June,NON-DEBT CAPITAL RECEIPTS,2742,3573,1697,4764,2020-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,7,July,NON-DEBT CAPITAL RECEIPTS,1885,5458,12299,17063,2020-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,8,August,NON-DEBT CAPITAL RECEIPTS,1206,6664,1197,18260,2020-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,9,September,NON-DEBT CAPITAL RECEIPTS,7971,14635,2338,20598,2020-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
