fiscal_year,month_numeric,month,item,revised_estimates_rs,provisional_actuals_rs,perc_actuals_to_revised_estimates_current,perc_actuals_to_revised_estimates_coppy,released_on,updated_on,data_source,data_url
2020-2021,1,January,External Financing,54522.23,50474.26,93 %,(201%),2021-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/1/2020-2021.aspx
2020-2021,1,January,Domestic Financing,1794132.87,1183530.25,66 %,(128%),2021-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/1/2020-2021.aspx
2020-2021,1,January,Market Borrowings,1273788.17,1282093.22,101%,(122%),2021-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/1/2020-2021.aspx
2020-2021,1,January,Securities against Small Savings,480573.89,104793.11,22%,(59%),2021-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/1/2020-2021.aspx
2020-2021,1,January,State Provident Funds,18000.00,8912.13,50%,(22%),2021-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/1/2020-2021.aspx
2020-2021,1,January,Special Deposits,0.00,-709.72,,,2021-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/1/2020-2021.aspx
2020-2021,1,January,National Small Saving Fund,-16518.16,96736.32,-586%,(- 194%),2021-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/1/2020-2021.aspx
2020-2021,1,January,Savings Deposit and Certificates,221888.72,167326.57,75%,(78%),2021-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/1/2020-2021.aspx
2020-2021,1,January,Public Provident Funds,88632.61,30956.88,35%,(32%),2021-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/1/2020-2021.aspx
2020-2021,1,January,Investment In Securities,-333525.89,-172791.18,52%,(48%),2021-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/1/2020-2021.aspx
2020-2021,1,January,Income/Expenditure of NSSF,6486.40,71244.05,1098 %,(-3570%),2021-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/1/2020-2021.aspx
2020-2021,1,January,Others,55647.11,-134317.32,-241%,(-127%),2021-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/1/2020-2021.aspx
2020-2021,1,January,Cash Balance {Decrease(+)/Increase(-)},-17358.14,4989.51,-29%,,2021-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/1/2020-2021.aspx
2020-2021,1,January,Investment (-) / Disinvestment(+) of Surplus Cash,,-178967.00,,,2021-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/1/2020-2021.aspx
2020-2021,1,January,Ways & Means Advances,,0.00,,,2021-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/1/2020-2021.aspx
2020-2021,1,January,TOTAL FINANCING,1848655.10,1234004.51,67%,(129%),2021-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/1/2020-2021.aspx
2020-2021,2,February,External Financing,54522.23,55011.10,101 %,(226%),2021-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/2/2020-2021.aspx
2020-2021,2,February,Domestic Financing,1794132.87,1350536.45,75 %,(135%),2021-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/2/2020-2021.aspx
2020-2021,2,February,Market Borrowings,1273788.17,1356751.04,107%,(111%),2021-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/2/2020-2021.aspx
2020-2021,2,February,Securities against Small Savings,480573.89,148188.85,31 %,(71%),2021-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/2/2020-2021.aspx
2020-2021,2,February,State Provident Funds,18000.00,8533.82,47%,(-7%),2021-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/2/2020-2021.aspx
2020-2021,2,February,Special Deposits,0.00,-747.19,,,2021-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/2/2020-2021.aspx
2020-2021,2,February,National Small Saving Fund,-16518.16,134593.84,-815%,(-157%),2021-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/2/2020-2021.aspx
2020-2021,2,February,Savings Deposit and Certificates,221888.72,185241.35,83%,(88%),2021-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/2/2020-2021.aspx
2020-2021,2,February,Public Provident Funds,88632.61,35120.20,40 %,(38%),2021-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/2/2020-2021.aspx
2020-2021,2,February,Investment In Securities,-333525.89,-160529.66,48%,(61%),2021-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/2/2020-2021.aspx
2020-2021,2,February,Income/Expenditure of NSSF,6486.40,74761.95,1153 %,(-3763%),2021-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/2/2020-2021.aspx
2020-2021,2,February,Others,55647.11,-92319.59,-166%,(223%),2021-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/2/2020-2021.aspx
2020-2021,2,February,Cash Balance {Decrease(+)/Increase(-)},-17358.14,4899.68,-28%,,2021-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/2/2020-2021.aspx
2020-2021,2,February,Investment (-) / Disinvestment(+) of Surplus Cash,,-209364.00,,,2021-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/2/2020-2021.aspx
2020-2021,2,February,Ways & Means Advances,,0.00,,,2021-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/2/2020-2021.aspx
2020-2021,2,February,TOTAL FINANCING,1848655.10,1405547.55,76%,(135%),2021-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/2/2020-2021.aspx
2020-2021,3,March,External Financing,54522.23,70271.03,129 %,(176%),2021-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/3/2020-2021.aspx
2020-2021,3,March,Domestic Financing,1794132.87,1751190.10,98 %,(121%),2021-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/3/2020-2021.aspx
2020-2021,3,March,Market Borrowings,1273788.17,1319737.54,104%,(111%),2021-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/3/2020-2021.aspx
2020-2021,3,March,Securities against Small Savings,480573.89,331608.65,69%,(100%),2021-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/3/2020-2021.aspx
2020-2021,3,March,State Provident Funds,18000.00,20493.24,114%,(65%),2021-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/3/2020-2021.aspx
2020-2021,3,March,Special Deposits,0.00,2468.67,,,2021-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/3/2020-2021.aspx
2020-2021,3,March,National Small Saving Fund,-16518.16,278222.22,-1684%,(54%),2021-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/3/2020-2021.aspx
2020-2021,3,March,Savings Deposit and Certificates,221888.72,215626.86,97%,(103%),2021-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/3/2020-2021.aspx
2020-2021,3,March,Public Provident Funds,88632.61,89742.62,101%,(98%),2021-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/3/2020-2021.aspx
2020-2021,3,March,Investment In Securities,-333525.89,-65767.02,20%,(98%),2021-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/3/2020-2021.aspx
2020-2021,3,March,Income/Expenditure of NSSF,6486.40,38619.76,595%,(-339%),2021-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/3/2020-2021.aspx
2020-2021,3,March,Others,55647.11,-13379.82,-24%,(140%),2021-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/3/2020-2021.aspx
2020-2021,3,March,Cash Balance {Decrease(+)/Increase(-)},-17358.14,-5961.40,34%,,2021-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/3/2020-2021.aspx
