fiscal_year,month_numeric,month,item,current_month_value,current_year_to_date_val,prev_month_value,prev_year_to_date_val,released_on,updated_on,data_source,data_url
2020-2021,4,April,GROSS TAX REVENUE,67557,67557,121190,121190,2020-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,5,May,GROSS TAX REVENUE,58553,126110,93389,214579,2020-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,6,June,GROSS TAX REVENUE,143576,269686,185842,400421,2020-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,7,July,GROSS TAX REVENUE,110314,380000,138647,539068,2020-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,8,August,GROSS TAX REVENUE,124200,504200,121706,660774,2020-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,9,September,GROSS TAX REVENUE,216696,720896,258696,919470,2020-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,10,October,GROSS TAX REVENUE,154695,875591,132334,1051804,2020-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,11,November,GROSS TAX REVENUE,150464,1026055,122339,1174143,2020-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,12,December,GROSS TAX REVENUE,312071,1338126,208892,1383035,2021-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,1,January,GROSS TAX REVENUE,176974,1515100,147906,1530941,2021-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,2,February,GROSS TAX REVENUE,150203,1665303,146846,1677787,2021-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,3,March,GROSS TAX REVENUE,359549,2024852,332272,2010059,2021-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,4,April,CORPORATION TAX,19514,19514,12376,12376,2020-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,5,May,CORPORATION TAX,-2533,16981,-11250,1126,2020-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,6,June,CORPORATION TAX,37231,54212,69514,70640,2020-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,7,July,CORPORATION TAX,-488,53724,17741,88381,2020-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,8,August,CORPORATION TAX,10991,64715,22785,111166,2020-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,9,September,CORPORATION TAX,85749,150464,138161,249327,2020-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,10,October,CORPORATION TAX,22271,172735,23429,272756,2020-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,11,November,CORPORATION TAX,12964,185699,15846,288602,2020-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,12,December,CORPORATION TAX,126833,312532,80931,369533,2021-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,1,January,CORPORATION TAX,21953,334485,23716,393249,2021-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,2,February,CORPORATION TAX,16097,350582,25305,418554,2021-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,3,March,CORPORATION TAX,106598,457180,138322,556876,2021-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,4,April,INCOME TAX,26978,26978,39716,39716,2020-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,5,May,INCOME TAX,8748,35726,20840,60556,2020-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,6,June,INCOME TAX,26397,62123,36371,96927,2020-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,7,July,INCOME TAX,29121,91244,31825,128752,2020-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,8,August,INCOME TAX,26494,117738,36748,165500,2020-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,9,September,INCOME TAX,48751,166489,47504,213004,2020-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,10,October,INCOME TAX,36612,203101,31390,244394,2020-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,11,November,INCOME TAX,31937,235038,23535,267929,2020-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,12,December,INCOME TAX,62768,297806,49723,317652,2021-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,1,January,INCOME TAX,35367,333173,34775,352427,2021-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,2,February,INCOME TAX,38870,372043,35872,388299,2021-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,3,March,INCOME TAX,97183,469226,92049,480348,2021-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,4,April,CENTRAL GOODS AND SERVICES TAX,5934,5934,46848,46848,2020-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,5,May,CENTRAL GOODS AND SERVICES TAX,18961,24895,34557,81405,2020-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,6,June,CENTRAL GOODS AND SERVICES TAX,30152,55047,35400,116805,2020-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,7,July,CENTRAL GOODS AND SERVICES TAX,37902,92949,24095,140900,2020-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,8,August,CENTRAL GOODS AND SERVICES TAX,32359,125308,68545,209445,2020-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,9,September,CENTRAL GOODS AND SERVICES TAX,37171,162479,38132,247577,2020-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,10,October,CENTRAL GOODS AND SERVICES TAX,42901,205380,37135,284712,2020-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,11,November,CENTRAL GOODS AND SERVICES TAX,39803,245183,43654,328366,2020-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,12,December,CENTRAL GOODS AND SERVICES TAX,43040,288223,40472,368838,2021-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,1,January,CENTRAL GOODS AND SERVICES TAX,44666,332889,43782,412620,2021-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,2,February,CENTRAL GOODS AND SERVICES TAX,66641,399530,41291,453911,2021-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,3,March,CENTRAL GOODS AND SERVICES TAX,56818,456348,40160,494071,2021-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,4,April,UT GOODS AND SERVICE TAX,34,34,171,171,2020-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,5,May,UT GOODS AND SERVICE TAX,107,141,154,325,2020-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
