fiscal_year,month_numeric,month,item,revised_estimates_rs,provisional_actuals_rs,perc_actuals_to_revised_estimates_current,perc_actuals_to_revised_estimates_coppy,released_on,updated_on,data_source,data_url
2020-2021,1,January,Revenue Receipts,1555153,1242959,79.9%,(67.6%),2021-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/1/2020-2021.aspx
2020-2021,1,January,Tax Revenue (Net),1344501,1101855,82.0 %,(66.3%),2021-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/1/2020-2021.aspx
2020-2021,1,January,Non-Tax Revenue,210652,141104,67.0 %,(73.0%),2021-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/1/2020-2021.aspx
2020-2021,1,January,Non-Debt Capital Receipts,46497,40355,86.8 %,(40.1%),2021-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/1/2020-2021.aspx
2020-2021,1,January,Recovery of Loans,14497,15804,109.0 %,(86.6%),2021-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/1/2020-2021.aspx
2020-2021,1,January,Other Receipts,32000,24551,76.7 %,(28.2%),2021-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/1/2020-2021.aspx
2020-2021,1,January,Total Receipts (1+4),1601650,1283314,80.1 %,(66.4%),2021-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/1/2020-2021.aspx
2020-2021,1,January,Revenue Expenditure,3011916,2155210,71.6%,(85.1%),2021-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/1/2020-2021.aspx
2020-2021,1,January,of which Interest Payments,692900,519597,75.0 %,(75.5%),2021-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/1/2020-2021.aspx
2020-2021,1,January,Capital Expenditure,438389,362108,82.6 %,(76.9%),2021-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/1/2020-2021.aspx
2020-2021,1,January,of which Loans disbursed,106916,109100,102.0 %,(84.2%),2021-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/1/2020-2021.aspx
2020-2021,1,January,Total Expenditure (8+10),3450305,2517318,73.0%,(84.1%),2021-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/1/2020-2021.aspx
2020-2021,1,January,Fiscal Deficit (12-7),1848655,1234004,66.8 %,(128.5%),2021-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/1/2020-2021.aspx
2020-2021,1,January,Revenue Deficit (8-1),1456763,912251,62.6 %,(150.0%),2021-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/1/2020-2021.aspx
2020-2021,1,January,Primary Deficit (13-9),1155755,714407,61.8 %,(362.3%),2021-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/1/2020-2021.aspx
2020-2021,2,February,Revenue Receipts,1555153,1370272,88.1%,(74.5%),2021-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/2/2020-2021.aspx
2020-2021,2,February,Tax Revenue (Net),1344501,1216086,90.4%,(74.1%),2021-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/2/2020-2021.aspx
2020-2021,2,February,Non-Tax Revenue,210652,154186,73.2%,(76.2%),2021-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/2/2020-2021.aspx
2020-2021,2,February,Non-Debt Capital Receipts,46497,42824,92.1 %,(62.6%),2021-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/2/2020-2021.aspx
2020-2021,2,February,Recovery of Loans,14497,17156,118.3 %,(95.4%),2021-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/2/2020-2021.aspx
2020-2021,2,February,Other Receipts,32000,25668,80.2%,(54.2%),2021-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/2/2020-2021.aspx
2020-2021,2,February,Total Receipts (1+4),1601650,1413096,88.2 %,(74.0%),2021-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/2/2020-2021.aspx
2020-2021,2,February,Revenue Expenditure,3011916,2413375,80.1%,(91.9%),2021-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/2/2020-2021.aspx
2020-2021,2,February,of which Interest Payments,692900,559483,80.7%,(82.1%),2021-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/2/2020-2021.aspx
2020-2021,2,February,Capital Expenditure,438389,405268,92.4%,(87.5%),2021-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/2/2020-2021.aspx
2020-2021,2,February,of which Loans disbursed,106916,133516,1 24.9%,(93.0%),2021-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/2/2020-2021.aspx
2020-2021,2,February,Total Expenditure (8+10),3450305,2818643,81.7%,(91.4%),2021-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/2/2020-2021.aspx
2020-2021,2,February,Fiscal Deficit (12-7),1848655,1405547,76.0 %,(135.2%),2021-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/2/2020-2021.aspx
2020-2021,2,February,Revenue Deficit (8-1),1456763,1043103,71.6 %,(156.5%),2021-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/2/2020-2021.aspx
2020-2021,2,February,Primary Deficit (13-9),1155755,846064,73.2%,(369.3%),2021-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/2/2020-2021.aspx
2020-2021,3,March,Revenue Receipts,1555153,1632094,104.9%,(91.0%),2021-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/3/2020-2021.aspx
2020-2021,3,March,Tax Revenue (Net),1344501,1424035,105.9%,(90.2%),2021-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/3/2020-2021.aspx
2020-2021,3,March,Non-Tax Revenue,210652,208059,98.8%,(94.7%),2021-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/3/2020-2021.aspx
2020-2021,3,March,Non-Debt Capital Receipts,46497,57626,123.9 %,(84.1%),2021-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/3/2020-2021.aspx
2020-2021,3,March,Recovery of Loans,14497,19729,136.1 %,(110.3%),2021-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/3/2020-2021.aspx
2020-2021,3,March,Other Receipts,32000,37897,118.4%,(77.4%),2021-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/3/2020-2021.aspx
2020-2021,3,March,Total Receipts (1+4),1601650,1689720,105.5 %,(90.7%),2021-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/3/2020-2021.aspx
2020-2021,3,March,Revenue Expenditure,3011916,3086360,102.5%,(100.0%),2021-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/3/2020-2021.aspx
